name,artist,last_week_ranking,peak,weeks_on_chart
Positions,Ariana Grande,-,1,1
Forever After All,Luke Combs,-,2,1
Mood,24kGoldn Featuring iann dior,1,1,12
Laugh Now Cry Later,Drake Featuring Lil Durk,3,2,11
Blinding Lights,The Weeknd,4,1,48
I Hope,Gabby Barrett Featuring Charlie Puth,6,6,44
WAP,Cardi B Featuring Megan Thee Stallion,2,1,12
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,5,1,20
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,10,9,11
Holy,Justin Bieber Featuring Chance The Rapper,9,3,6
Rockstar,DaBaby Featuring Roddy Ricch,8,1,28
Dynamite,BTS,7,1,10
Before You Go,Lewis Capaldi,12,9,39
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,13,6,17
Watermelon Sugar,Harry Styles,11,1,32
Go Crazy,Chris Brown & Young Thug,15,9,25
Said Sum,Moneybagg Yo,23,17,17
Circles,Post Malone,19,1,61
Be Like That,Kane Brown With Swae Lee & Khalid,20,19,16
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",18,2,38
Got What I Got,Jason Aldean,16,16,22
Kings & Queens,Ava Max,24,22,12
More Than My Hometown,Morgan Wallen,28,23,20
Come & Go,Juice WRLD x Marshmello,22,2,16
ily,surf mesa Featuring Emilee,27,25,23
One Of Them Girls,Lee Brice,17,17,22
Lonely,Justin Bieber & benny blanco,14,14,2
Bang!,AJR,26,26,17
What You Know Bout Love,Pop Smoke,25,25,8
Better Together,Luke Combs,57,30,4
Adore You,Harry Styles,31,6,47
Wonder,Shawn Mendes,30,18,4
Dreams,Fleetwood Mac,21,1,23
Tyler Herro,Jack Harlow,-,34,1
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,32,11,17
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,37,36,21
Love You Like I Used To,Russell Dickerson,41,37,8
Don't Start Now,Dua Lipa,36,2,52
Roses,SAINt JHN,33,4,32
Rags2Riches,Rod Wave Featuring ATR Son Son,38,12,18
Lovin' On You,Luke Combs,45,23,18
Levitating,Dua Lipa Featuring DaBaby,47,42,4
Pretty Heart,Parker McCollum,44,43,16
Break My Heart,Dua Lipa,34,13,31
Some Girls,Jameson Rodgers,29,29,12
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,49,45,14
Mood Swings,Pop Smoke Featuring Lil Tjay,40,17,17
Everywhere But On,Matt Stell,56,48,8
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,42,10,4
I Should Probably Go To Bed,Dan + Shay,43,42,13
Franchise,Travis Scott Featuring Young Thug & M.I.A.,39,1,5
24,Money Man Featuring Lil Baby,51,49,11
Spicy,Ty Dolla $ign Featuring Post Malone,-,53,1
Popstar,DJ Khaled Featuring Drake,46,3,15
You Broke Me First.,Tate McRae,58,55,10
Midnight Sky,Miley Cyrus,48,14,11
My Ex's Best Friend,Machine Gun Kelly X blackbear,54,28,11
Diamonds,Sam Smith,60,51,6
Tap In,Saweetie,53,20,16
7 Summers,Morgan Wallen,61,6,11
Runnin,21 Savage & Metro Boomin,50,9,4
Wishing Well,Juice WRLD,55,5,16
Starting Over,Chris Stapleton,65,57,9
Hawai,Maluma,59,55,10
Ain't Always The Cowboy,Jon Pardi,62,61,9
U 2 Luv,Ne-Yo & Jeremih,70,66,4
"Big, Big Plans",Chris Lane,68,67,4
Hit Different,SZA Featuring Ty Dolla $ign,66,29,8
The Other Guy,Luke Combs,-,69,1
Damage,H.E.R.,-,70,1
Heather,Conan Gray,64,46,11
Don't Stop,Megan Thee Stallion Featuring Young Thug,63,30,4
Martin & Gina,Polo G,67,61,13
Golden,Harry Styles,-,74,2
B.S.,Jhene Aiko Featuring H.E.R.,69,24,13
Back To The Streets,Saweetie Featuring Jhene Aiko,-,76,1
So Done,The Kid LAROI,-,77,1
Without You,Luke Combs Featuring Amanda Shires,-,70,2
Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",73,64,8
Put Your Records On,Ritt Momney,79,79,4
Good Time,Niko Moon,74,74,4
The Bigger Picture,Lil Baby,72,3,20
Blind,DaBaby Featuring Young Thug,78,78,6
Cold As You,Luke Combs,-,84,1
Kacey Talk,YoungBoy Never Broke Again,77,50,11
Practice,DaBaby,-,86,1
Hole In The Bottle,Kelsea Ballerini,94,87,3
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,35,35,3
You're Mines Still,Yung Bleu Featuring Drake,52,52,2
Champagne Night,Lady A,100,90,2
Greece,DJ Khaled Featuring Drake,76,8,15
Happy Does,Kenny Chesney,85,85,2
Throat Baby (Go Baby),BRS Kash,93,93,2
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",83,63,14
Do It,Chloe X Halle,75,63,11
Cardigan,Taylor Swift,88,1,14
Forget Me Too,Machine Gun Kelly & Halsey,-,44,3
La Toxica,Farruko,-,98,1
Head & Heart,Joel Corry X MNEK,-,99,1
"Wine, Beer, Whiskey",Little Big Town,-,100,1
